iter	Passed	Remaining
0	0	96
1	1	81
2	2	75
3	2	70
4	3	69
5	4	69
6	5	72
7	7	84
8	8	88
9	9	86
10	10	83
11	11	81
12	11	79
13	12	77
14	13	75
15	14	74
16	14	73
17	15	72
18	16	71
19	17	70
20	18	68
21	19	67
22	20	67
23	21	69
24	23	70
25	24	69
26	25	68
27	26	67
28	26	65
29	27	64
30	28	63
31	29	62
32	30	61
33	31	60
34	31	59
35	32	58
36	33	57
37	34	56
38	35	55
39	37	55
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	41	49
46	42	48
47	43	47
48	44	45
49	44	44
50	45	43
51	46	42
52	47	41
53	47	40
54	48	39
55	48	38
56	50	37
57	52	37
58	53	36
59	53	35
60	54	34
61	55	33
62	56	32
63	56	31
64	57	31
65	58	30
66	59	29
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	23
74	67	22
75	68	21
76	69	20
77	70	19
78	70	18
79	71	17
80	72	16
81	73	16
82	73	15
83	74	14
84	75	13
85	75	12
86	76	11
87	77	10
88	78	9
89	80	8
90	82	8
91	83	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	88	0
99	89	0
